gene1,gene2,interaction_type
HMGN2P18,RN7SL415P,same_pathway
HMGN2P18,RN7SKP159,same_pathway
HMGN2P18,RNF6,coexpression
HMGN2P18,METTL21EP,coexpression
HMGN2P18,EZRP1,same_pathway
HMGN2P18,TRMT112P3,coexpression
MAPT-AS1,LMX1A,coexpression
MAPT-AS1,ADAM3A,regulation
MAPT-AS1,PAX2,coexpression
MAPT-AS1,MIR4432HG,same_pathway
MAPT-AS1,APOC1,regulation
PARVB,SETD7,same_pathway
PARVB,CHST12,regulation
PARVB,NPC1,same_pathway
IGDCC4,RNU7-65P,same_pathway
IGDCC4,RNU6-943P,same_pathway
IGDCC4,DYNLL1P4,same_pathway
IGDCC4,LRRN2,same_pathway
IGDCC4,RAPGEF6,regulation
IGDCC4,LINC02695,coexpression
IGDCC4,PDE1A,same_pathway
IGDCC4,ACTN4,same_pathway
IGDCC4,TFR2,coexpression
IGDCC4,POLN,same_pathway
IGDCC4,UBE2V2,coexpression
IGDCC4,RAB9BP1,same_pathway
IGDCC4,FOXE1,coexpression
IGDCC4,EZRP1,coexpression
IGDCC4,RPSAP47,regulation
RFPL4AP3,KMT5A,coexpression
RFPL4AP3,RNU6-412P,coexpression
RFPL4AP3,SEMA3A,regulation
RFPL4AP3,SMARCE1P4,regulation
RFPL4AP3,AHCYL1,same_pathway
NEK10,HID1-AS1,regulation
GRIK1,ZFP3,same_pathway
GRIK1,TMEM184A,coexpression
GRIK1,LINC00686,coexpression
GRIK1,CCNY,same_pathway
GRIK1,RN7SL636P,coexpression
GRIK1,TCF7L2,same_pathway
LINC02059,SAMD12-AS1,same_pathway
LINC02059,GRM7-AS3,same_pathway
LINC02059,IQCK,coexpression
PPP1R13L,SEMA3F,coexpression
PPP1R13L,KCNH1,coexpression
PPP1R13L,SLC66A2P1,same_pathway
PPP1R13L,PKMP4,regulation
PPP1R13L,EXOC3L2,coexpression
TNIP1,OR5G1P,coexpression
TNIP1,OR8H1,same_pathway
TNIP1,RAB9BP1,coexpression
NFU1P1,TSEN15P3,regulation
NFU1P1,BCAM,same_pathway
NFU1P1,MIR8074,coexpression
TANK-AS1,FCER1G,same_pathway
TANK-AS1,MCPH1-AS1,same_pathway
TANK-AS1,KCTD9P6,same_pathway
TANK-AS1,HTR1A,coexpression
TANK-AS1,C12orf42,coexpression
RNU7-188P,RPL5P26,coexpression
RNU7-188P,LARP4,regulation
RNU7-188P,SPSB1,same_pathway
RNU7-188P,MICALL2,regulation
TGFB2,MIR548AE1,regulation
RELB,MRPL50P4,coexpression
RELB,LINC01868,coexpression
PNPLA7,HESX1,same_pathway
PNPLA7,OR2W6P,regulation
PNPLA7,ACTR3C,same_pathway
PNPLA7,NECTIN2,coexpression
PNPLA7,CARM1P1,same_pathway
MELK,LINC01680,coexpression
MELK,TENT5A,same_pathway
AUTS2,IRAK1BP1,regulation
AUTS2,LMX1A-AS1,coexpression
AUTS2,MIR646HG,coexpression
AUTS2,STMN4,regulation
PRPF19P1,ICA1L,same_pathway
PRPF19P1,NLGN4X,same_pathway
PRPF19P1,GRM3,coexpression
ZNF184,ZNF862,regulation
ZNF184,CASP12,same_pathway
ZNF184,MTMR3,regulation
ZNF184,ZNF680P1,coexpression
VWA5B1,RPSAP74,same_pathway
VWA5B1,FANCD2,coexpression
VWA5B1,OSBPL6,coexpression
RFX6,MYO15A,regulation
RFX6,GGACT,regulation
RFX6,RPL18P1,same_pathway
RFX6,PRSS36,regulation
RFX6,MDM4,coexpression
MIR5702,LINC02227,same_pathway
MIR5702,LINC01899,same_pathway
MIR5702,RDH10-AS1,regulation
MIR5702,LINC01776,regulation
IGHV2-70,UTS2B,regulation
OR10A6,ANKRD31,same_pathway
OR10A6,IGHV3-64,regulation
OR10A6,NEPRO-AS1,regulation
MS4A6A,MSRA,same_pathway
MS4A6A,TRIM56,regulation
MS4A6A,DDX25,same_pathway
MS4A6A,PROX1-AS1,coexpression
MS4A6A,LINC02438,regulation
ATXN7L1,LINC02550,regulation
ATXN7L1,CTD-2194D22.4,same_pathway
ATXN7L1,LINC02059,same_pathway
ATXN7L1,ADAMTS9-AS2,regulation
PDXDC2P,EDIL3-DT,same_pathway
PDXDC2P,MOB3B,coexpression
PDXDC2P,RNA5SP189,regulation
PDXDC2P,POT1-AS1,same_pathway
VWA5B2,OSTN,coexpression
VWA5B2,MAPT-AS1,regulation
VWA5B2,NTF3,regulation
VWA5B2,RERGL,coexpression
VWA5B2,MTND3P4,regulation
CCRL2,ROR2,same_pathway
CCRL2,KCTD15,regulation
CCRL2,CHRNE,coexpression
CCRL2,SH2D4B,same_pathway
NCOA5LP,SPRING1P3,coexpression
NCOA5LP,TREM2,regulation
NCOA5LP,TACC3,regulation
LINC00290,OTX2P1,regulation
LINC00290,MPP3,regulation
LINC00290,RN7SL152P,regulation
LINC00290,EPHB4,regulation
LINC00290,MTDHP1,regulation
TCF20,RNU4-69P,same_pathway
TCF20,CMTM5,same_pathway
RAI14-DT,ABCG8,same_pathway
RAI14-DT,RBMS3,coexpression
PLPP4,MFSD4BP1,same_pathway
PLPP4,FNIP2,regulation
PLPP4,STAG3,regulation
PLPP4,SYNPR-AS1,coexpression
RNU6-793P,ZNF558,regulation
RNU6-793P,GAPDHP38,regulation
RNU6-793P,RPS27P10,coexpression
RNU6-793P,DCAF7,same_pathway
LINC02466,CEP170,same_pathway
LINC02466,SOBP,regulation
LINC02466,SLC14A2,coexpression
RABGEF1P3,BMP1,same_pathway
RABGEF1P3,RN7SL782P,coexpression
RABGEF1P3,CHRNA2,coexpression
RABGEF1P3,ZNF184,regulation
RABGEF1P3,SRCIN1,coexpression
RABGEF1P3,RN7SKP122,coexpression
RABGEF1P3,ILRUN,coexpression
RABGEF1P3,CFAP20DC,coexpression
RABGEF1P3,DNAH14,regulation
RABGEF1P3,UNC5CL,coexpression
RABGEF1P3,MECOM,regulation
RABGEF1P3,PLCG2,same_pathway
RABGEF1P3,NFIC,same_pathway
RABGEF1P3,CST8,regulation
NIBAN2,NENFP3,coexpression
RNU7-190P,COX5A,same_pathway
LINC02541,ALPK2,same_pathway
LINC02541,H3C12,coexpression
LINC02541,EPHX2,same_pathway
LINC02541,ILRUN,regulation
LINC02541,DAG1,same_pathway
RNU6-679P,NALF1,coexpression
RNU6-679P,GDI2P1,same_pathway
RNU6-679P,SLC14A2,regulation
HSPA6,KATNAL2,coexpression
HSPA6,ATP7B,same_pathway
HSPA6,LINC02705,regulation
HSPA6,LINC00550,coexpression
HSPA6,MIR548AE1,coexpression
HSPA6,MMP3,regulation
HSPA6,DMXL1,coexpression
HSPA6,PLPPR5-AS1,coexpression
HSPA6,RPL10P2,coexpression
RPS27P10,SLC12A2-DT,regulation
LINC02016,ZNF222,regulation
LINC02016,PCDHGA4,regulation
RN7SKP102,Y_RNA,coexpression
RN7SKP102,ZDHHC11B,same_pathway
RN7SKP102,FERMT2,same_pathway
RN7SKP102,ADAD2,same_pathway
RN7SKP102,LINC01647,coexpression
IMMP2L,BORCS7-ASMT,coexpression
IMMP2L,TUBAP15,coexpression
IMMP2L,REDIC1,same_pathway
IMMP2L,EYA4,coexpression
IMMP2L,L3MBTL4,regulation
FGFR3,RNU6-952P,coexpression
FGFR3,Y_RNA,coexpression
FGFR3,JADRR,same_pathway
SUMO2P2,LINC01868,same_pathway
SUMO2P2,RASGEF1C,regulation
SUMO2P2,RBMX2P4,coexpression
MIR4268,HTR1A,regulation
MIR4268,RPL29P13,coexpression
MIR4268,MGME1,regulation
HCG27,METTL21EP,same_pathway
HCG27,LGMNP1,same_pathway
HCG27,LINC02460,same_pathway
LINC01117,LINC02333,coexpression
FAM163A,ADGRF2P,coexpression
KRT18P45,AGBL1,same_pathway
KRT18P45,LINC02497,same_pathway
KRT18P45,TRPM1,same_pathway
KRT18P45,CPS1,regulation
KRT18P45,ERN1,coexpression
PTN,HMGN1P19,regulation
PTN,LINC01326,coexpression
PTN,MFSD4BP1,same_pathway
PTN,NDUFS5P4,same_pathway
TRPC6P8,RARB,coexpression
TRPC6P8,NHLRC3,coexpression
TRPC6P8,ZNF462,coexpression
TUSC1,MVK,regulation
TUSC1,RASSF8,regulation
TUSC1,AP2A2,same_pathway
TUSC1,CEP170,coexpression
TUSC1,ADAD2,same_pathway
GDI2P1,RNU7-66P,same_pathway
GDI2P1,CTNNA1,regulation
LINC00161,ATG13,coexpression
JMJD1C,WWOX,same_pathway
JMJD1C,ARL2BPP7,coexpression
JMJD1C,FKBP1C,coexpression
NPAS2,RPS3AP17,coexpression
NPAS2,F13A1,coexpression
NPAS2,MYO15A,regulation
BFSP2,CPEB1-AS1,coexpression
DOC2A,ZNF599,regulation
DOC2A,CD24,coexpression
LINC03122,LINC00708,coexpression
LINC03122,ICOS,coexpression
RNU2-54P,MAP3K20-AS1,same_pathway
CBLN2,RN7SKP277,regulation
CBLN2,RN7SKP159,coexpression
CBLN2,LINC01680,regulation
CBLN2,TNRC6C,same_pathway
CTAGE3P,HAS2-AS1,coexpression
CTAGE3P,RPS17P11,coexpression
CTAGE3P,PLCH1,same_pathway
CTAGE3P,NEGR1,same_pathway
CTAGE3P,OPA3,coexpression
DENND4A,ZNF222-DT,regulation
HLA-DRB5,AARS2,same_pathway
HLA-DRB5,EBF1,regulation
HLA-DRB5,HMGN2P18,regulation
HLA-DRB5,RNA5SP489,coexpression
HLA-DRB5,ALCAM,coexpression
TRPS1,PCDHGA1,coexpression
TRPS1,ADAM10,coexpression
TRPS1,RNU1-63P,regulation
TRPS1,RNU4-67P,coexpression
LRIG3,CHN2,coexpression
LRIG3,PKIA-AS1,regulation
LRIG3,LINC01018,regulation
LRIG3,CYP4F44P,same_pathway
LRIG3,LINC02214,regulation
MTARC2P1,MS4A3,coexpression
MTARC2P1,HNRNPCP7,coexpression
MTARC2P1,ASCC2,coexpression
MTARC2P1,CLYBL,regulation
ADAMTS4,CUX2,coexpression
ADAMTS4,RLIG1P3,same_pathway
ADAMTS4,TBXAS1,coexpression
SGK3,ZNF285,same_pathway
SGK3,PTCHD4,same_pathway
RPL12P37,LINC02750,coexpression
TMEM186,RNU6-374P,coexpression
TMEM186,RET,coexpression
TMEM186,NIBAN2,coexpression
CYCS,SCARA3,regulation
ALDH4A1,CST8,regulation
ALDH4A1,STK24,same_pathway
ALDH4A1,RNF125,coexpression
ALDH4A1,OVCH1-AS1,coexpression
RPSAP2,ST18,regulation
RPSAP2,SIK1,same_pathway
LINC01248,RPL13AP13,same_pathway
LINC01248,LINC02414,coexpression
LINC01248,LINC02210,coexpression
LINC01248,KCNN2,regulation
LINC01248,CAMK4,same_pathway
LINC00052,SMIM28,regulation
LINC00052,NAALADL2,regulation
LINC00052,SETD7,coexpression
LINC00052,LAMTOR4,coexpression
LINC00052,LINC02898,regulation
BICD1-AS1,EPC2,same_pathway
HID1-AS1,IQGAP2,same_pathway
HID1-AS1,RPL3P11,same_pathway
PCDHA4,SEC24B-AS1,regulation
PCDHA4,LINC01122,coexpression
CLMN,RN7SKP207,regulation
CLMN,OR5D3P,same_pathway
CLMN,ATM,regulation
CLMN,NTF3,same_pathway
CLMN,GBA3,same_pathway
CST13P,HMGA2,same_pathway
CST13P,LINC01031,coexpression
CST13P,IQCF6,same_pathway
CST13P,NIFKP9,coexpression
CST13P,RNA5SP43,same_pathway
CST13P,IPPKP1,coexpression
CST13P,MAML3,coexpression
CST13P,MIR646HG,coexpression
CST13P,ZNF652,same_pathway
CST13P,VAT1L,coexpression
TC2N,ZNF184,same_pathway
TC2N,ZNF804A,coexpression
TC2N,LINC03022,coexpression
RPSAP72,PLEKHA1,regulation
ZNF285,CCDC112,same_pathway
ZNF285,CPNE8-AS1,coexpression
ZNF285,KLF16,regulation
MYOZ2,PYGL,regulation
MYOZ2,LINC01163,same_pathway
MEF2C,MAPRE1P2,same_pathway
MEF2C,RN7SL278P,regulation
MEF2C,GDF9,same_pathway
MEF2C,REEP3,same_pathway
MEF2C,HCN1,same_pathway
RNF125,FRMD5,regulation
RNF125,ST18,regulation
RNF125,OR5D17P,coexpression
LOLI1,ALCAM,same_pathway
LOLI1,CLYBL,same_pathway
LOLI1,PCSEAT,regulation
LOLI1,RAC1,same_pathway
HCN1,RN7SKP168,same_pathway
HCN1,MC3R,regulation
HCN1,ABCD2,coexpression
HCN1,MARCKS,coexpression
LEF1-AS1,RNASE10,regulation
LEF1-AS1,STK3,coexpression
LEF1-AS1,BICRA,same_pathway
SLC25A6P5,LINC02986,regulation
SLC25A6P5,ATXN7L1,same_pathway
SLC25A6P5,TTLL11,coexpression
SLC25A6P5,CST2P1,same_pathway
RPL15P2,ANKRD33BP2,same_pathway
RPL15P2,HLA-C,same_pathway
RPL15P2,ETS1,regulation
RPL15P2,ITPKB,same_pathway
RPL15P2,H2BC4,same_pathway
MAD1L1,SREBF2,regulation
MAD1L1,ABI3,same_pathway
MAD1L1,BDP1P,same_pathway
CFAP418-AS1,HMCN1,regulation
CFAP418-AS1,C17orf107,same_pathway
TENM4,CLU; CLU; CLU,regulation
TENM4,MIR302F,same_pathway
TENM4,LINC02429,same_pathway
ZNF970P,ZNF652,same_pathway
ZNF970P,CNN2,same_pathway
SYNPR-AS1,FRMD5,same_pathway
LINC02838,TSEN15P3,same_pathway
LINC02838,MSH2,coexpression
LINC02838,SCML4,regulation
SCARA3,PRPF38AP1,regulation
SCARA3,DCAF4,same_pathway
SCARA3,ZNF225-AS1,regulation
SCARA3,GYG1P2,coexpression
DIO2,HMGA2,regulation
DIO2,ITPKB,regulation
DIO2,LINC01965,coexpression
DIO2,C4BPAP2,coexpression
CASC11,MS4A4A,same_pathway
CASC11,CNTNAP5-DT,coexpression
SYMPK,CCZ1B,coexpression
FBXO40,COL6A3,same_pathway
FBXO40,NCOA5LP,coexpression
FBXO40,LINC01679,same_pathway
FBXO40,LINC02438,same_pathway
FBXO40,CASTOR3P,regulation
FBXO40,SREBF2,regulation
FBXO40,UBA52P7,coexpression
FBXO40,PUS1,same_pathway
FBXO40,EDAR,coexpression
FBXO40,Metazoa_SRP,regulation
FBXO40,LINC02500,coexpression
FBXO40,TMC5,same_pathway
FBXO40,LINC01080,same_pathway
CHSY3,CTNNBL1,coexpression
CHSY3,MARCKS,regulation
CHSY3,TSPAN16,same_pathway
NPM1P11,CR1; CR1,regulation
AOX1,CNN3-DT,regulation
AOX1,IGHV3-64,same_pathway
AOX1,ATP5MFP3,coexpression
AOX1,DGKI,coexpression
PPIAP45,ZBED5-AS1,coexpression
PPIAP45,CATSPER1,same_pathway
PPIAP45,STAU2-AS1,regulation
PPIAP45,TBX3-AS1,regulation
PPIAP45,EGFR,regulation
SETD7,RNU7-188P,regulation
SETD7,QKI,coexpression
SETD7,IDUA,regulation
SETD7,ICOS,same_pathway
SETD7,NTRK3,regulation
GRK5,ZNF222-DT,coexpression
GRK5,RNU6-718P,regulation
GRK5,SNORD28B,same_pathway
GRK5,UFC1,coexpression
RPL12P42,WDR12,same_pathway
RPL12P42,ATXN1-AS1,same_pathway
RPL12P42,PITPNM2,same_pathway
RPL12P42,MTMR14,regulation
CPNE8-AS1,CACNA1G,coexpression
CPNE8-AS1,RBM5,same_pathway
RNASE10,IDI1P2,regulation
RNASE10,RPL23AP28,regulation
PCDHA1,ELL,regulation
PCDHA1,IP6K1,coexpression
DAG1,ZNF92,regulation
ATXN1-AS1,LINC01994,coexpression
ATXN1-AS1,LINC00052,same_pathway
ATXN1-AS1,LRBA,coexpression
ATXN1-AS1,RPS3AP17,coexpression
SREBF2,HS3ST1,regulation
SREBF2,AP4M1,coexpression
SREBF2,GTF2H3,regulation
SREBF2,NFU1P1,coexpression
HLA-DRB9,AVL9,coexpression
HLA-DRB9,PLCG2,coexpression
HLA-DRB9,MTATP6P21,same_pathway
HLA-DRB9,STK31,same_pathway
HLA-DRB9,CLMN,regulation
FBXL7,EEF1A1P49,regulation
MIR548AG1,MTSS2,regulation
MIR548AG1,SUPT3H,coexpression
MIR548AG1,NOTCH1,coexpression
MIR548AG1,MKX,regulation
CAMKV,SALL4P5,coexpression
CAMKV,BRD1,regulation
CAMKV,RAI14-DT,regulation
MTATP6P30,TEX41,coexpression
LINC01419,PCDHGA1,coexpression
LINC01419,GYG1P2,same_pathway
LINC01419,LINC00927,same_pathway
PFKFB4,CYYR1-AS1,regulation
LINGO2,SEMA3A,coexpression
LINGO2,EPHA4,same_pathway
KCNK1,NIFKP9,regulation
OSER1-DT,LINC03006,regulation
OSER1-DT,LINC02150,regulation
OSER1-DT,TULP4,regulation
TCF7L2,ZKSCAN4,regulation
SLC35C1,LINC02059,same_pathway
SLC35C1,MSANTD1,same_pathway
SLC35C1,SNORD27,regulation
CEACAM22P,ACKR2,coexpression
CEACAM22P,ANK3,same_pathway
MCPH1-AS1,RBM5,coexpression
MGME1,RBBP4P4,same_pathway
MGME1,RPL23AP22,same_pathway
MGME1,RASIP1,coexpression
WNT7B,MTMR3,same_pathway
FAM135B,TIAL1P1,coexpression
FAM135B,SNX19,coexpression
LRFN2,CPM,same_pathway
LRFN2,RAB1A,coexpression
LRFN2,JMJD1C,coexpression
ZSWIM2,DNAH6,regulation
ZSWIM2,NKAPL,same_pathway
ZSWIM2,MIR302F,coexpression
ZSWIM2,FAM209A,regulation
APH1B,TMEM272,coexpression
APH1B,GABBR1,regulation
DISC1FP1,PCDHA1,same_pathway
OARD1,GRIN3B,coexpression
INSIG1,HIP1R,regulation
LINC00971,SCML4,regulation
LINC00971,SMARCE1P4,same_pathway
LINC00971,C10orf71,regulation
LINC00971,RPL32P25,same_pathway
LINC00971,OR4S1,same_pathway
ADAMTS9-AS2,RNU6-1213P,regulation
ADAMTS9-AS2,LINC02695,same_pathway
ADAMTS9-AS2,FGFR3,same_pathway
ADAMTS9-AS2,GUSBP18,same_pathway
ADAMTS9-AS2,LINC01326,coexpression
PEX6,CYLC2,coexpression
PEX6,TENT5A,regulation
PEX6,ZNF462,same_pathway
ANKRD55,SPDYE20P,same_pathway
ANKRD55,LINC01916,same_pathway
ANKRD55,CR1-AS1,same_pathway
ANKRD55,LINC01720,same_pathway
ANKRD55,CELF1,coexpression
ANKRD55,CDC42EP3-AS1,coexpression
ANKRD55,TXN,coexpression
ANKRD55,RPL5P26,regulation
ANKRD55,RPL13AP7,same_pathway
ANKRD55,OR4C7P,regulation
ANKRD55,HLA-DRB5,coexpression
APP,LIMS2,regulation
APP,CHST10,coexpression
BDP1P,LINC02500,regulation
BDP1P,DLC1,coexpression
DDX18,LINC02814,regulation
RNU2-9P,EXOC4,regulation
RNU2-9P,RBMX2P4,regulation
RNU2-9P,RCC2P7,same_pathway
RNU2-9P,LINC01429,same_pathway
CNN2P8,DCAF7,regulation
CNN2P8,ENSA,same_pathway
CNN2P8,RPL5P19,coexpression
LINC01170,FAM181A,same_pathway
LIPC-AS1,RNU6-560P,regulation
HSPA5P1,LINC01248,coexpression
HSPA5P1,H3C9P,regulation
HSPA5P1,C11orf65,coexpression
HSPA5P1,RNU6-280P,regulation
HSPA5P1,TRMO,coexpression
MARK2P15,PVRIG2P,coexpression
MARK2P15,SLC26A1,coexpression
MARK2P15,ZNF222-DT,coexpression
MARK2P15,RNU4-77P,same_pathway
MARK2P15,HRK,coexpression
MARK2P15,THSD4,coexpression
SPG11,HRK,regulation
SPG11,PDE4B,coexpression
SPG11,PLPPR5-AS1,coexpression
LINC02392,FCER1G,coexpression
LINC02392,ST3GAL3,regulation
LINC02392,CYP4F44P,same_pathway
LINC02392,ARSA,coexpression
LINC02392,PDE9A,coexpression
ADAM10,LINC00052,coexpression
ADAM10,LINC01117,same_pathway
ADAM10,AP1S2P1,same_pathway
ADAM10,CRADD,regulation
SELP,KDM1B,coexpression
SELP,MOB3B,coexpression
SELP,MIR3689F,regulation
SELP,MTHFD2P1,same_pathway
CELF4,U3,coexpression
CELF4,CD34,coexpression
MAP1S,LINC02057,same_pathway
CALM3,RANP7,same_pathway
CALM3,ETV1,same_pathway
CALM3,RPS2P1,coexpression
CALM3,SLC2A13,coexpression
CYYR1,SPPL2C,regulation
CYYR1,EPS15P1,same_pathway
CYYR1,RN7SL217P,coexpression
CYYR1,UBBP4,same_pathway
CYYR1,SYNPR-AS1,regulation
DMXL1,ANKRD55,regulation
PDE7B,ADGRF2P,same_pathway
PDE7B,ZNF599,same_pathway
PDE7B,REDIC1,coexpression
PDE7B,MMP3,regulation
PDE7B,PA2G4,coexpression
CLEC3B,SUMO2P6,same_pathway
CLEC3B,PGAM5P1,regulation
CLEC3B,IL19,coexpression
PLEKHA1,RPS29P6,same_pathway
PLEKHA1,MTHFD2P1,same_pathway
PLEKHA1,CDC5L,same_pathway
PLEKHA1,LINC02552,coexpression
SEMA3F-AS1,RPS16P9,same_pathway
SEMA3F-AS1,POLN,regulation
SEMA3F-AS1,TIMP2,regulation
SEMA3F-AS1,SYNJ1,regulation
SEMA3F-AS1,TACR3,same_pathway
RASIP1,FRMD4A; FRMD4A; FRMD4A,coexpression
RASIP1,LINC02273,regulation
RASIP1,LARS1,regulation
RASIP1,AKR7A3,regulation
RASIP1,SUMO2P6,coexpression
LINC02181,LINC02898,regulation
LINC02181,H3C9P,same_pathway
LINC02181,OR4R2P,regulation
LINC02113,LINC01725,same_pathway
LINC02113,SP6,regulation
LINC02113,CADPS,same_pathway
LINC02113,ZAN,coexpression
LINC02113,CLMN,regulation
LINC02113,ZNF689,coexpression
LINC02113,LINC01648,regulation
LINC00111,PCNX1,same_pathway
LINC00111,LINC01868,same_pathway
LINC00111,BIN1,coexpression
LINC00111,MAP3K20-AS1,regulation
LINC00111,SNX7-DT,regulation
LINC00111,LINC01861,regulation
LINC00111,SLC19A4P,regulation
LINC00111,GDI2P1,regulation
LINC00111,BNIP3P13,regulation
LINC00111,TNIP1,same_pathway
LINC00111,LINC02113,regulation
LINC00111,LINC01960,regulation
LINC00111,OR4C3,regulation
LINC00111,SNRPEP5,same_pathway
LINC00111,PCDHGA1,same_pathway
DNAJA2,SHARPIN,same_pathway
DNAJA2,MIR5702,same_pathway
COL25A1,CIMIP4,same_pathway
RPL21P47,FOXP4-AS1,regulation
RPL21P47,RAB9BP1,regulation
RPL21P47,ZNRF4,same_pathway
RNA5SP279,TFR2,coexpression
RNA5SP279,PFDN1,regulation
RNA5SP279,HAND1,same_pathway
RNA5SP279,CYB561,same_pathway
ELMO1,LINC01471,regulation
ELMO1,TUSC2,coexpression
NCR2,RNU7-188P,same_pathway
NCR2,COL4A4,regulation
KCNH5,GJD4,coexpression
KCNH5,RORA,regulation
KCNH5,ZNF366,regulation
KCNH5,NFIB,regulation
KCNH5,SLC39A8,same_pathway
KCNH5,SEMA3A,same_pathway
KCNH5,TYW1,regulation
KCNH5,KCTD15,regulation
KCNH5,AHNAK,coexpression
KCNH5,CEACAM16,regulation
RPL8P1,SRC,regulation
RPL8P1,TAFA5,regulation
RPL8P1,SIGLEC22P,coexpression
RPL8P1,IGHG3,coexpression
CYB561,PYGL,same_pathway
CYB561,HDAC2-AS2,same_pathway
SLC4A8,NCKIPSD,same_pathway
SLC4A8,LINC01684,coexpression
SLC4A8,OSTN,coexpression
SLC4A8,HDAC9,regulation
SLC4A8,PTCD2,same_pathway
MAP2K5,CASS4,coexpression
RNU6-1069P,PLA2G10FP,coexpression
RNU6-1069P,LINC02808,regulation
RNU6-1069P,ARL2BPP4,same_pathway
BZW2,LINC01876,regulation
BZW2,RNU6-793P,regulation
BZW2,IGHV2-70,coexpression
BZW2,RN7SKP93,coexpression
BZW2,LINC03007,regulation
RPSAP74,FENDRR,coexpression
RPSAP74,CTNNBL1,same_pathway
SENP7,MEIKIN,same_pathway
SENP7,SERPINE1,coexpression
RPL3P11,LINC01866,regulation
LINC02388,HADHA,regulation
LINC02388,CYCSP30,coexpression
LINC02388,NRXN1,regulation
LINC02388,CALCRL-AS1,regulation
CNN2,NBEAL1,same_pathway
CNN2,CD33,same_pathway
CNN2,TRIM56,regulation
CNN2,AFF3,coexpression
CNN2,LINC02772,same_pathway
CNN2,MCPH1-AS1,coexpression
CNN2,KRTCAP2,same_pathway
CNN2,CLIC5,coexpression
CNN2,PSMC3,regulation
CNN2,LINC01718,same_pathway
CNN2,RNA5SP489,coexpression
KHDRBS2,NCR2,same_pathway
KHDRBS2,IRAK1BP1,regulation
KHDRBS2,MAMSTR,same_pathway
KHDRBS2,YWHAQ,coexpression
KHDRBS2,DLEU1,regulation
OR5G1P,L3MBTL4,regulation
OR5G1P,RAB31,regulation
OR5G1P,GLIS3,coexpression
OR5G1P,ZNF232,same_pathway
OR5G1P,ABT1,coexpression
BMS1,RNU6-412P,regulation
BMS1,MPDZ,same_pathway
BMS1,TRIM36,regulation
MMP12,SYMPK,coexpression
MMP12,HSPA8P5,same_pathway
MMP12,DCC,regulation
MMP12,RNU6-280P,coexpression
AIDAP3,SYMPK,coexpression
PAX3,SF3B3,coexpression
PAX3,RPL5P26,coexpression
PAX3,CELF1,regulation
PAX3,TRIM51G,coexpression
PAX3,CYCSP19,coexpression
RN7SL278P,GALNT13,same_pathway
RN7SL278P,KCTD15,coexpression
RN7SL278P,RNF125,regulation
RN7SL299P,ZNF101P1,same_pathway
RN7SL299P,TREML2,regulation
RN7SL299P,OVCH1-AS1,same_pathway
RN7SL299P,LINC01648,coexpression
PTPRS,SDR42E2,regulation
PTPRS,TMEM94,same_pathway
CSTF1,KPNA7,regulation
MAPKAPK5,PPP1R2P5,coexpression
MAPKAPK5,NFIC,regulation
PTGER2,RN7SL643P,regulation
PTGER2,MPP7,coexpression
PTGER2,PILRB,regulation
PTGER2,OR7E39P,same_pathway
PTGER2,ZNF229,regulation
MAF,CATSPERB,regulation
MAF,MTND3P4,coexpression
ZSWIM5P3,BRD1,coexpression
ZSWIM5P3,CNGB1,regulation
MLPH,MS4A6E,regulation
MLPH,RSPH6A,same_pathway
MLPH,ZNF230,same_pathway
MLPH,VAV3-AS1,regulation
MLPH,PRSS16,same_pathway
STAG3L4,REL-DT,regulation
STAG3L4,PDE7B,regulation
STAG3L4,RPL7AP36,regulation
STAG3L4,SLC7A9,regulation
ABCA8,DDX43P2,same_pathway
ABCA8,ZBTB25,regulation
ABCA8,LIN28B,same_pathway
ABCA8,PDE9A,same_pathway
ABCA8,ANO4,same_pathway
FAM76B,CFAP418-AS1,coexpression
FAM76B,LGMNP1,same_pathway
SUGT1,VN1R10P,coexpression
SUGT1,TXNL1,coexpression
SUGT1,H3C9P,coexpression
KBTBD8,PSD3,regulation
KBTBD8,ATP7B,same_pathway
KBTBD8,GCNT7,regulation
KBTBD8,ZNF462,regulation
RNU6ATAC21P,PAX2,regulation
CDH1,RAI14-DT,regulation
CDH1,OR10A6,regulation
CDH1,LOLI1,same_pathway
CDH1,RN7SKP27,regulation
GRIK2,DOCK4,same_pathway
GRIK2,RNA5SP431,coexpression
GRIK2,RNU4-42P,same_pathway
GRIK2,DIRAS2,same_pathway
GRIK2,TREM2,regulation
PER3P1,EPOP,coexpression
PER3P1,LRRC2P1,same_pathway
PER3P1,LINC02268,coexpression
PER3P1,RORA-AS1,same_pathway
PER3P1,ATXN2L,same_pathway
HS3ST3B1,OTOGL,coexpression
HS3ST3B1,SENP7,regulation
HS3ST3B1,USP10,regulation
RBM5,NHLRC3,coexpression
PHF3,PRKD3,regulation
PHF3,LINC01121,coexpression
CACNA1G,DST,regulation
CACNA1G,RPL6P17,coexpression
TRANK1,SENP7,same_pathway
MIR4432HG,CNTNAP4,same_pathway
MIR4432HG,OSER1-DT,same_pathway
MIR4432HG,INHCAP,same_pathway
SGK1,NYAP2,same_pathway
PCSK6,MTCO3P30,regulation
PCSK6,RPS23P5,coexpression
PCSK6,SAMD12-AS1,coexpression
EPB42,LRBA,regulation
PPIAP55,RORA,regulation
PPIAP55,C1S,regulation
